model,train_variant,test_set,slice,value,n,accuracy,f1_macro
banglabert,aug_dia,clean,len_bucket,1-5w,1522,0.9304,0.9299
banglabert,aug_dia,clean,len_bucket,6-15w,2315,0.9365,0.9364
banglabert,aug_dia,clean,len_bucket,16-30w,824,0.9114,0.9114
banglabert,aug_dia,clean,len_bucket,>30w,367,0.8965,0.8943
banglabert,aug_dia,clean,has_latin,False,4994,0.9275,0.9275
banglabert,aug_dia,clean,has_latin,True,34,0.9412,0.9183
banglabert,aug_dia,clean,hate_type_1,callToViolence,740,0.9554,0.4886
banglabert,aug_dia,clean,hate_type_1,gender,370,0.9486,0.4868
banglabert,aug_dia,clean,hate_type_1,religion,100,0.94,0.4845
banglabert,aug_dia,clean,hate_type_1,slander,1206,0.9428,0.4853
banglabert,aug_dia,clean,target_1,female,529,0.9376,0.4839
banglabert,aug_dia,clean,target_1,group,292,0.9452,0.4859
banglabert,aug_dia,clean,target_1,ind,871,0.9392,0.4843
banglabert,aug_dia,clean,target_1,male,724,0.9655,0.4912
banglabert,aug_dia,clean,near_dup_train,False,4922,0.9265,0.9264
banglabert,aug_dia,clean,near_dup_train,True,106,0.9811,0.9811
banglabert,augmented,clean,len_bucket,1-5w,1522,0.929,0.9285
banglabert,augmented,clean,len_bucket,6-15w,2315,0.9369,0.9368
banglabert,augmented,clean,len_bucket,16-30w,824,0.909,0.909
banglabert,augmented,clean,len_bucket,>30w,367,0.8992,0.8964
banglabert,augmented,clean,has_latin,False,4994,0.9271,0.9271
banglabert,augmented,clean,has_latin,True,34,0.9412,0.9183
banglabert,augmented,clean,hate_type_1,callToViolence,740,0.9514,0.4875
banglabert,augmented,clean,hate_type_1,gender,370,0.9568,0.489
banglabert,augmented,clean,hate_type_1,religion,100,0.94,0.4845
banglabert,augmented,clean,hate_type_1,slander,1206,0.9345,0.4831
banglabert,augmented,clean,target_1,female,529,0.9509,0.4874
banglabert,augmented,clean,target_1,group,292,0.9349,0.4832
banglabert,augmented,clean,target_1,ind,871,0.9323,0.4825
banglabert,augmented,clean,target_1,male,724,0.9544,0.4883
banglabert,augmented,clean,near_dup_train,False,4922,0.926,0.926
banglabert,augmented,clean,near_dup_train,True,106,0.9811,0.9811
banglabert,clean,clean,len_bucket,1-5w,1522,0.9244,0.9238
banglabert,clean,clean,len_bucket,6-15w,2315,0.9348,0.9347
banglabert,clean,clean,len_bucket,16-30w,824,0.915,0.915
banglabert,clean,clean,len_bucket,>30w,367,0.8965,0.8931
banglabert,clean,clean,has_latin,False,4994,0.9255,0.9255
banglabert,clean,clean,has_latin,True,34,0.9412,0.9183
banglabert,clean,clean,hate_type_1,callToViolence,740,0.9459,0.4861
banglabert,clean,clean,hate_type_1,gender,370,0.9216,0.4796
banglabert,clean,clean,hate_type_1,religion,100,0.93,0.4819
banglabert,clean,clean,hate_type_1,slander,1206,0.9245,0.4804
banglabert,clean,clean,target_1,female,529,0.9206,0.4793
banglabert,clean,clean,target_1,group,292,0.9212,0.4795
banglabert,clean,clean,target_1,ind,871,0.9254,0.4806
banglabert,clean,clean,target_1,male,724,0.9489,0.4869
banglabert,clean,clean,near_dup_train,False,4922,0.9242,0.9241
banglabert,clean,clean,near_dup_train,True,106,0.9906,0.9905
banglabert,dialect,clean,len_bucket,1-5w,1522,0.9271,0.9264
banglabert,dialect,clean,len_bucket,6-15w,2315,0.9361,0.936
banglabert,dialect,clean,len_bucket,16-30w,824,0.9114,0.9114
banglabert,dialect,clean,len_bucket,>30w,367,0.9046,0.9014
banglabert,dialect,clean,has_latin,False,4994,0.9269,0.9269
banglabert,dialect,clean,has_latin,True,34,0.9412,0.9183
banglabert,dialect,clean,hate_type_1,callToViolence,740,0.9486,0.4868
banglabert,dialect,clean,hate_type_1,gender,370,0.9324,0.4825
banglabert,dialect,clean,hate_type_1,religion,100,0.93,0.4819
banglabert,dialect,clean,hate_type_1,slander,1206,0.9221,0.4797
banglabert,dialect,clean,target_1,female,529,0.9282,0.4814
banglabert,dialect,clean,target_1,group,292,0.9281,0.4813
banglabert,dialect,clean,target_1,ind,871,0.9208,0.4794
banglabert,dialect,clean,target_1,male,724,0.9503,0.4873
banglabert,dialect,clean,near_dup_train,False,4922,0.9256,0.9256
banglabert,dialect,clean,near_dup_train,True,106,0.9906,0.9905
banglabert-adapt1000,augmented,clean,len_bucket,1-5w,1522,0.9297,0.9292
banglabert-adapt1000,augmented,clean,len_bucket,6-15w,2315,0.9387,0.9386
banglabert-adapt1000,augmented,clean,len_bucket,16-30w,824,0.909,0.909
banglabert-adapt1000,augmented,clean,len_bucket,>30w,367,0.9101,0.9078
banglabert-adapt1000,augmented,clean,has_latin,False,4994,0.9289,0.9289
banglabert-adapt1000,augmented,clean,has_latin,True,34,0.9412,0.9183
banglabert-adapt1000,augmented,clean,hate_type_1,callToViolence,740,0.9419,0.485
banglabert-adapt1000,augmented,clean,hate_type_1,gender,370,0.9541,0.4882
banglabert-adapt1000,augmented,clean,hate_type_1,religion,100,0.94,0.4845
banglabert-adapt1000,augmented,clean,hate_type_1,slander,1206,0.9461,0.4862
banglabert-adapt1000,augmented,clean,target_1,female,529,0.9452,0.4859
banglabert-adapt1000,augmented,clean,target_1,group,292,0.9349,0.4832
banglabert-adapt1000,augmented,clean,target_1,ind,871,0.938,0.484
banglabert-adapt1000,augmented,clean,target_1,male,724,0.9599,0.4898
banglabert-adapt1000,augmented,clean,near_dup_train,False,4922,0.9279,0.9278
banglabert-adapt1000,augmented,clean,near_dup_train,True,106,0.9811,0.9811
banglabert-adapt250,augmented,clean,len_bucket,1-5w,1522,0.9277,0.9274
banglabert-adapt250,augmented,clean,len_bucket,6-15w,2315,0.9369,0.9368
banglabert-adapt250,augmented,clean,len_bucket,16-30w,824,0.909,0.909
banglabert-adapt250,augmented,clean,len_bucket,>30w,367,0.8965,0.8941
banglabert-adapt250,augmented,clean,has_latin,False,4994,0.9265,0.9265
banglabert-adapt250,augmented,clean,has_latin,True,34,0.9412,0.9183
banglabert-adapt250,augmented,clean,hate_type_1,callToViolence,740,0.9581,0.4893
banglabert-adapt250,augmented,clean,hate_type_1,gender,370,0.9595,0.4897
banglabert-adapt250,augmented,clean,hate_type_1,religion,100,0.94,0.4845
banglabert-adapt250,augmented,clean,hate_type_1,slander,1206,0.9519,0.4877
banglabert-adapt250,augmented,clean,target_1,female,529,0.9565,0.4889
banglabert-adapt250,augmented,clean,target_1,group,292,0.9452,0.4859
banglabert-adapt250,augmented,clean,target_1,ind,871,0.9472,0.4864
banglabert-adapt250,augmented,clean,target_1,male,724,0.9655,0.4912
banglabert-adapt250,augmented,clean,near_dup_train,False,4922,0.9254,0.9254
banglabert-adapt250,augmented,clean,near_dup_train,True,106,0.9811,0.9811
banglabert-adapt500,augmented,clean,len_bucket,1-5w,1522,0.9284,0.9279
banglabert-adapt500,augmented,clean,len_bucket,6-15w,2315,0.9374,0.9373
banglabert-adapt500,augmented,clean,len_bucket,16-30w,824,0.9053,0.9053
banglabert-adapt500,augmented,clean,len_bucket,>30w,367,0.9074,0.9051
banglabert-adapt500,augmented,clean,has_latin,False,4994,0.9271,0.9271
banglabert-adapt500,augmented,clean,has_latin,True,34,0.9412,0.9183
banglabert-adapt500,augmented,clean,hate_type_1,callToViolence,740,0.9446,0.4858
banglabert-adapt500,augmented,clean,hate_type_1,gender,370,0.9595,0.4897
banglabert-adapt500,augmented,clean,hate_type_1,religion,100,0.95,0.4872
banglabert-adapt500,augmented,clean,hate_type_1,slander,1206,0.9378,0.484
banglabert-adapt500,augmented,clean,target_1,female,529,0.9471,0.4864
banglabert-adapt500,augmented,clean,target_1,group,292,0.9384,0.4841
banglabert-adapt500,augmented,clean,target_1,ind,871,0.9369,0.4837
banglabert-adapt500,augmented,clean,target_1,male,724,0.9517,0.4876
banglabert-adapt500,augmented,clean,near_dup_train,False,4922,0.926,0.926
banglabert-adapt500,augmented,clean,near_dup_train,True,106,0.9811,0.9811
banglabert-adaptfull,augmented,clean,len_bucket,1-5w,1522,0.9369,0.9363
banglabert-adaptfull,augmented,clean,len_bucket,6-15w,2315,0.9425,0.9425
banglabert-adaptfull,augmented,clean,len_bucket,16-30w,824,0.9199,0.9199
banglabert-adaptfull,augmented,clean,len_bucket,>30w,367,0.9074,0.9051
